inserted_at,total_passed,total_runs
"Mon, 16 May 2022 16:02:25 GMT",26,379
"Tue, 17 May 2022 07:45:19 GMT",26,379
"Wed, 18 May 2022 03:13:58 GMT",26,378
"Thu, 19 May 2022 03:21:07 GMT",23,387
"Fri, 20 May 2022 03:10:27 GMT",22,390
"Sat, 21 May 2022 02:46:48 GMT",22,389
"Sun, 22 May 2022 03:04:35 GMT",22,395
"Mon, 23 May 2022 03:16:04 GMT",20,395
"Tue, 24 May 2022 03:19:10 GMT",20,402
"Wed, 25 May 2022 03:15:39 GMT",21,402
"Fri, 27 May 2022 03:21:24 GMT",21,402
"Tue, 31 May 2022 03:23:19 GMT",23,403
"Wed, 01 Jun 2022 04:03:12 GMT",24,404
"Thu, 02 Jun 2022 03:46:34 GMT",25,404
"Fri, 03 Jun 2022 03:11:43 GMT",27,404
"Sat, 04 Jun 2022 03:07:41 GMT",28,404
"Sun, 05 Jun 2022 03:09:29 GMT",30,401
"Mon, 06 Jun 2022 03:19:37 GMT",31,401
"Tue, 07 Jun 2022 03:17:43 GMT",32,401
"Wed, 08 Jun 2022 03:23:18 GMT",34,402
"Thu, 09 Jun 2022 03:24:19 GMT",34,404
"Fri, 10 Jun 2022 03:20:11 GMT",35,418
"Sat, 11 Jun 2022 03:17:19 GMT",35,433
"Sun, 12 Jun 2022 03:22:13 GMT",36,436
"Mon, 13 Jun 2022 03:35:46 GMT",35,444
"Tue, 14 Jun 2022 03:51:31 GMT",34,449
"Wed, 15 Jun 2022 03:39:20 GMT",33,463
"Thu, 16 Jun 2022 03:22:49 GMT",32,463
"Fri, 17 Jun 2022 03:23:37 GMT",33,460
"Fri, 17 Jun 2022 05:42:15 GMT",33,461
